ID Mass_mu Mass_std
"Gaia DR2 5618334405952694528" 1.1629860122260554 0.07511938165358129
"Gaia DR2 5618334925656833792" 1.3794449475454797 0.08508131395798396
"Gaia DR2 5618333757425711360" 1.5562222203568208 0.10094415824314928
"Gaia DR2 5618522564184697600" 2.610985601955098 0.29031724120037034
"Gaia DR2 5618335063095762304" 3.811882353038742 0.42282137860862484
"Gaia DR2 5618334513339988736" 3.274361630637391 0.36159306407800235
"Gaia DR2 5618334543391609600" 2.171863284323123 0.23489809610535473
"Gaia DR2 5618333379468624384" 1.2165441203771221 0.07729678044423843
"Gaia DR2 5618522254947078400" 1.3991257949273634 0.08723472460447626
"Gaia DR2 5618522186227589376" 5.15903724473858 0.5789366559281024
"Gaia DR2 5618334994376285696" 1.401398147863501 0.08737007334157017
"Gaia DR2 5618330493250566528" 1.7857755205868504 0.1487294943096763
"Gaia DR2 5618336540564497536" 1.5616721945805072 0.10187446841599229
"Gaia DR2 5618334891297102336" 1.4683562244594277 0.09178059083689201
"Gaia DR2 5618522495465256704" 7.897119391325606 1.3267130773462632
"Gaia DR2 5618522529824985472" 1.9273383958124013 0.18629274625242442
"Gaia DR2 5618334440315003520" 7.60522519487202 1.183833820146904
"Gaia DR2 5616833125905891584" 1.158537254958132 0.07439004816808234
"Gaia DR2 5618522358026335232" 1.1962698863108072 0.0759900019498085
"Gaia DR2 5617020837458428672" 1.64385950810439 0.11710423332938964
"Gaia DR2 5618334204102349440" 1.5405616842716863 0.09856014602465955
"Gaia DR2 5618334199792919808" 6.875626999683398 0.9250166931105656
"Gaia DR2 5617020661357893248" 1.1667270492539275 0.07435466077093711
"Gaia DR2 5618334199794179584" 1.2536347951040512 0.08224125470889897
"Gaia DR2 5616832649171436672" 1.317548030958521 0.08226391873066186
"Gaia DR2 5618522461105499648" 2.0889714120417295 0.22243751421506272
"Gaia DR2 5617020906177919744" 1.2274392999251524 0.07764393465619661
"Gaia DR2 5618524247811832064" 1.4319999622787918 0.08913057390337552
"Gaia DR2 5618334238462080640" 2.096440070769954 0.22747586605455558
"Gaia DR2 5618334101023142144" 1.153895200154263 0.07378335566456122
"Gaia DR2 5617020317760502656" 1.256314318583719 0.0793032391781627
"Gaia DR2 5618522392386057088" 1.561651142852088 0.10214525710495621
"Gaia DR2 5618523869854753408" 1.1773843225782128 0.07505207995626628
"Gaia DR2 5616832580451998976" 1.4960130024484881 0.09496501806989674
"Gaia DR2 5618334616419193728" 1.6733476515641983 0.12280775336029254
"Gaia DR2 5616831476638410624" 1.1965294964429092 0.076062621543601
"Gaia DR2 5618334509034582272" 7.563401257522767 1.1660142360904764
"Gaia DR2 5618522014418879744" 1.5735724559588333 0.10344611619859977
"Gaia DR2 5618522353719691776" 0.8452646388307686 0.05937122114142026
"Gaia DR2 5618522186227598848" 8.837115930016877 2.159853396341093
"Gaia DR2 5616831824537714432" 1.6456525875530998 0.11805859311896684
"Gaia DR2 5618333963576512384" 1.6363369148082432 0.11643240474443987
"Gaia DR2 5616832198192908544" 1.8649094019010586 0.17923123974520458
"Gaia DR2 5618334272821835264" 1.57802814500578 0.10459954019400924
"Gaia DR2 5616832374293581952" 1.8287721881307828 0.1681130049900348
"Gaia DR2 5618522804702844672" 1.8567324562733445 0.1761077502164187
"Gaia DR2 5616832477372789888" 1.659710385910079 0.11910490137315562
"Gaia DR2 5618335441052858368" 0.8527478400678274 0.059607823795251084
"Gaia DR2 5616832443013056640" 1.522124325730431 0.09763095162107287
"Gaia DR2 5618336300046539904" 1.6548325036737066 0.1224484877131915
"Gaia DR2 5616831820235849600" 0.8683780999896911 0.061063762959187966
"Gaia DR2 5616833130207767168" 4.970556165317338 0.5608302244013896
"Gaia DR2 5617020974897398144" 1.8663421037698695 0.17722465620810135
"Gaia DR2 5618522048788662912" 1.6987504781712748 0.13106569832259565
"Gaia DR2 5618522289296470656" 0.7749955565875886 0.0502030275426677
"Gaia DR2 5618523521952186496" 0.8278437464744147 0.05728644703646669
"Gaia DR2 5617021936970062208" 1.7038933268615268 0.13767313764083705
"Gaia DR2 5618333757418187648" 0.8374390727934692 0.05854281464129759
"Gaia DR2 5618333723058452352" 0.832541805291246 0.058239018740082846
"Gaia DR2 5618522254937044096" 0.7980504251973487 0.05404885263378583
"Gaia DR2 5618335441045191168" 0.7604875819390202 0.04331669092580445
"Gaia DR2 5618523006554391424" 0.8298959531374152 0.05828377623985485
"Gaia DR2 5617020700010554496" 0.810991726762364 0.05629556313661873
"Gaia DR2 5616832576150062336" 0.8184125326608734 0.05696476626529687
"Gaia DR2 5617021009257130496" 1.5357711459430043 0.09614519971417523
"Gaia DR2 5618522594237514496" 0.8262414845919585 0.057236952880592426
"Gaia DR2 5617020764437131648" 0.8467711044296278 0.05916069380426108
"Gaia DR2 5616831618374759296" 0.7569987334354806 0.04591773250099164
"Gaia DR2 5618333929216832256" 0.7704921317937151 0.04613003079788747
"Gaia DR2 5618334685131101056" 0.845496762560848 0.059093210256325156
"Gaia DR2 5618522632904183168" 0.76843302978637 0.047068584572559975
"Gaia DR2 5618334513339987456" 2.503408892785793 0.28264542699409295
"Gaia DR2 5618334474674483456" 0.7674883968640638 0.046789531063438555
"Gaia DR2 5618334032303660928" 8.04984799803736 1.415739373207669
"Gaia DR2 5618523006554765952" 0.7896340453680724 0.05259165752702576
"Gaia DR2 5618523354458710016" 1.786322164994827 0.18605821016662055
"Gaia DR2 5618334440311083904" 7.1289066639248295 1.0027150130328668
"Gaia DR2 5618334753858119808" 0.8326697431355347 0.057990470430701886
"Gaia DR2 5618333654346476544" 0.787878194741283 0.05085378885728706
"Gaia DR2 5618333242029681024" 7.338209087053799 1.0754360475689824
"Gaia DR2 5618522804702840704" 2.2493302728385465 0.382811494305602
"Gaia DR2 5618336506204745472" 0.7491506453507314 0.04096559749158579
"Gaia DR2 5618334685131085312" 0.7753069240718544 0.049792735725268704
"Gaia DR2 5617020803091614592" 0.772222889030334 0.04844275079934741
"Gaia DR2 5618522014419144832" 0.837175841434407 0.05828579655255149
"Gaia DR2 5618522113201522560" 0.8179764811075131 0.05644775378504128
"Gaia DR2 5618336192659295616" 0.8326436579837685 0.058327392780570385
"Gaia DR2 5618334135382869632" 0.8210577637546451 0.057285198899824696
"Gaia DR2 5618522048778193024" 0.773308922881534 0.04766700261513302
"Gaia DR2 5617020253333988736" 0.7670481425138795 0.045725037801007486
