# Subset of stars selected as members
ID Mag Col Mass_mu Mass_std Mass_binar_mu Mass_binar_std P_binar
"Gaia DR2 5290715370058746368" 10.70803 0.40609 1.84367 0.03563 1.75491 0.03760 0.30
"Gaia DR2 5290768043538081280" 10.70901 0.40155 1.84388 0.03558 1.75516 0.03763 0.27
"Gaia DR2 5290779760210781056" 10.71272 0.38230 1.84483 0.03546 1.75612 0.03834 0.16
"Gaia DR2 5290719115275116288" 10.73936 0.53240 1.81218 0.03447 1.70843 0.04472 0.85
"Gaia DR2 5290836522500952832" 10.74075 0.42340 1.82687 0.03470 1.73955 0.03800 0.34
"Gaia DR2 5290816628212850176" 10.75182 0.39805 1.82550 0.03444 1.73937 0.03717 0.18
"Gaia DR2 5290004673234138112" 10.75476 0.40025 1.82400 0.03436 1.73818 0.03707 0.19
"Gaia DR2 5291247602410155392" 10.76334 0.46175 1.81179 0.03414 1.72551 0.03886 0.51
"Gaia DR2 5291241829974083840" 10.76359 0.41227 1.81850 0.03410 1.73342 0.03706 0.24
"Gaia DR2 5289930181318610432" 10.76495 0.41165 1.81801 0.03407 1.73312 0.03687 0.23
"Gaia DR2 5290828928999061120" 10.76834 0.43096 1.81389 0.03397 1.72835 0.03831 0.33
"Gaia DR2 5290850472555175168" 10.77477 0.40901 1.81423 0.03385 1.72921 0.03781 0.20
"Gaia DR2 5290822538087854976" 10.79121 0.38606 1.81052 0.03353 1.72728 0.03746 0.10
"Gaia DR2 5290762030585055488" 10.79249 0.40064 1.80797 0.03352 1.72513 0.03760 0.14
"Gaia DR2 5290671286515023744" 10.80250 0.49445 1.79090 0.03303 1.70633 0.04105 0.62
"Gaia DR2 5290781203323379456" 10.80502 0.41568 1.80073 0.03317 1.71921 0.03679 0.18
"Gaia DR2 5290718806032777600" 10.80528 0.42654 1.79903 0.03318 1.71742 0.03707 0.24
"Gaia DR2 5290780997164946176" 10.80993 0.43198 1.79644 0.03302 1.71462 0.03772 0.26
"Gaia DR2 5289811949461425280" 10.81492 0.69134 1.75879 0.03191 1.54498 0.03339 0.84
"Gaia DR2 5290722242006786432" 10.83286 0.44454 1.78542 0.03258 1.70533 0.03719 0.29
"Gaia DR2 5290742582976042496" 10.84604 0.46608 1.77716 0.03217 1.69764 0.03969 0.38
"Gaia DR2 5290650705036608256" 10.85247 0.50495 1.76937 0.03192 1.68761 0.04294 0.58
"Gaia DR2 5290720901976984576" 10.90160 0.48448 1.75293 0.03116 1.67605 0.04400 0.38
"Gaia DR2 5290968085934209152" 10.90516 0.43914 1.75761 0.03121 1.68280 0.04035 0.14
"Gaia DR2 5289833213840076544" 10.94890 0.51153 1.73147 0.03022 1.65649 0.04684 0.44
"Gaia DR2 5290940976104125696" 10.95524 0.43625 1.73890 0.03040 1.66891 0.04139 0.10
"Gaia DR2 5290765019886216448" 10.95587 0.50944 1.72923 0.03014 1.65415 0.04727 0.41
"Gaia DR2 5291456269100213248" 10.97172 0.43883 1.73250 0.03011 1.66306 0.04172 0.10
"Gaia DR2 5290726914930519424" 10.99676 0.69281 1.69106 0.02862 1.51041 0.04038 0.90
"Gaia DR2 5290648093696480640" 11.00104 0.60964 1.69995 0.02895 1.59262 0.05761 0.78
"Gaia DR2 5290747943096587776" 11.02315 0.52146 1.70322 0.02902 1.62584 0.05129 0.34
"Gaia DR2 5290833189601524480" 11.02603 0.49277 1.70573 0.02919 1.63341 0.04863 0.19
"Gaia DR2 5290721554811929856" 11.03965 0.57555 1.69054 0.02864 1.59892 0.05894 0.59
"Gaia DR2 5290868820655092992" 11.07642 0.51831 1.68481 0.02836 1.60609 0.05509 0.23
"Gaia DR2 5290671698836255616" 11.07761 0.51152 1.68523 0.02839 1.60839 0.05403 0.19
"Gaia DR2 5290682693952246656" 11.08239 0.58228 1.67495 0.02797 1.58166 0.05852 0.56
"Gaia DR2 5290832468051992320" 11.09639 0.52317 1.67722 0.02808 1.59712 0.05536 0.22
"Gaia DR2 5290864800565868544" 11.11143 0.72878 1.64788 0.02687 1.47522 0.03868 0.89
"Gaia DR2 5290633662602127232" 11.11896 0.54959 1.66643 0.02766 1.58170 0.05436 0.31
"Gaia DR2 5290739147002207232" 11.12945 0.53728 1.66434 0.02766 1.58190 0.05371 0.23
"Gaia DR2 5289681657333632000" 11.13509 0.58897 1.65636 0.02727 1.56446 0.05406 0.50
"Gaia DR2 5290669602892315520" 11.13526 0.54583 1.66134 0.02755 1.57865 0.05301 0.26
"Gaia DR2 5290739181361937024" 11.14137 0.55631 1.65808 0.02732 1.57336 0.05291 0.31
"Gaia DR2 5290718806037481728" 11.14310 0.54833 1.65841 0.02741 1.57506 0.05285 0.26
"Gaia DR2 5290706196007797760" 11.14654 0.55163 1.65700 0.02737 1.57284 0.05316 0.27
"Gaia DR2 5290720111707457152" 11.17219 0.76400 1.62439 0.02609 1.45193 0.03549 0.84
"Gaia DR2 5291237328844633472" 11.19497 0.58320 1.63720 0.02682 1.54789 0.05245 0.36
"Gaia DR2 5291199704935161600" 11.19693 0.55073 1.64041 0.02675 1.55621 0.05141 0.18
"Gaia DR2 5290740929411321216" 11.20302 0.57307 1.63585 0.02666 1.54903 0.05110 0.29
"Gaia DR2 5290771204639131648" 11.20466 0.55158 1.63761 0.02685 1.55405 0.05113 0.17
"Gaia DR2 5290766737873019648" 11.24197 0.59935 1.62037 0.02614 1.52926 0.05088 0.36
"Gaia DR2 5290019997677687424" 11.24501 0.56176 1.62340 0.02634 1.53777 0.05015 0.16
"Gaia DR2 5291106383884588672" 11.24668 0.55711 1.62339 0.02634 1.53796 0.05006 0.14
"Gaia DR2 5290006150703319936" 11.24677 0.54716 1.62457 0.02648 1.54044 0.05052 0.11
"Gaia DR2 5290671527037564672" 11.25800 0.65786 1.60885 0.02580 1.51033 0.04911 0.66
"Gaia DR2 5290918573554531584" 11.25954 0.58127 1.61657 0.02620 1.52773 0.04912 0.23
"Gaia DR2 5290738356723303936" 11.27768 0.55990 1.61331 0.02598 1.52739 0.04818 0.12
"Gaia DR2 5290381874442909312" 11.27921 0.57394 1.61124 0.02613 1.52407 0.04756 0.17
"Gaia DR2 5291103463306757120" 11.28963 0.67279 1.59743 0.02547 1.49759 0.04867 0.69
"Gaia DR2 5289543531185090816" 11.29086 0.57837 1.60710 0.02587 1.52061 0.04760 0.17
"Gaia DR2 5290815872298718208" 11.29438 0.76257 1.58668 0.02502 1.43403 0.04252 0.88
"Gaia DR2 5291032132489758208" 11.29875 0.57849 1.60449 0.02577 1.51774 0.04742 0.16
"Gaia DR2 5289946399118750848" 11.31621 0.62395 1.59424 0.02548 1.50347 0.04755 0.37
"Gaia DR2 5290777419450772352" 11.32259 0.61975 1.59272 0.02553 1.50214 0.04730 0.34
"Gaia DR2 5290701935405663744" 11.33876 0.66777 1.58279 0.02523 1.48831 0.04761 0.59
"Gaia DR2 5291101607880805376" 11.34186 0.59690 1.58904 0.02546 1.50126 0.04742 0.18
"Gaia DR2 5289748349585460352" 11.35513 0.58710 1.58605 0.02546 1.49996 0.04626 0.12
"Gaia DR2 5289934751163440000" 11.35723 0.59321 1.58479 0.02547 1.49831 0.04582 0.14
"Gaia DR2 5290616517096896512" 11.38019 0.65179 1.57174 0.02501 1.48273 0.04565 0.43
"Gaia DR2 5289803119005929344" 11.40302 0.66533 1.56353 0.02477 1.47539 0.04508 0.47
