# Subset of stars selected as members
ID Mag Col Mass_mu Mass_std Mass_binar_mu Mass_binar_std P_binar
"Gaia DR2 5291028043680884096" 14.05549 1.21458 0.94286 0.01388 0.90625 0.02381 0.19
"Gaia DR2 5290764263972054784" 14.05662 1.37406 0.93661 0.01384 0.86499 0.02427 0.85
"Gaia DR2 5290738906484117248" 14.06035 1.16895 0.94391 0.01383 0.91052 0.02209 0.14
"Gaia DR2 5290017592496087296" 14.06161 1.15902 0.94417 0.01385 0.91115 0.02175 0.16
"Gaia DR2 5291008596069161856" 14.06809 1.36261 0.93524 0.01375 0.86964 0.02668 0.84
"Gaia DR2 5290664070974326272" 14.07131 1.17576 0.94171 0.01379 0.90813 0.02287 0.13
"Gaia DR2 5290919295109011712" 14.08402 1.15122 0.94076 0.01367 0.90889 0.02182 0.19
"Gaia DR2 5291027390845814912" 14.09108 1.14752 0.93973 0.01370 0.90831 0.02182 0.20
"Gaia DR2 5290670393166282496" 14.09430 1.16955 0.93836 0.01381 0.90604 0.02278 0.15
"Gaia DR2 5290349267051426560" 14.10797 1.15672 0.93673 0.01381 0.90540 0.02211 0.19
"Gaia DR2 5289907843192345472" 14.11901 1.17994 0.93399 0.01379 0.90192 0.02265 0.14
"Gaia DR2 5289993162721899264" 14.12134 1.21623 0.93238 0.01359 0.89860 0.02391 0.14
"Gaia DR2 5290673038866056192" 14.12594 1.18498 0.93282 0.01364 0.90069 0.02296 0.14
"Gaia DR2 5290651323511794816" 14.12844 1.18564 0.93243 0.01358 0.90052 0.02288 0.14
"Gaia DR2 5290884797933312640" 14.14918 1.25772 0.92634 0.01370 0.88963 0.02683 0.30
"Gaia DR2 5289895065667973760" 14.15382 1.25823 0.92556 0.01366 0.88873 0.02703 0.29
"Gaia DR2 5289976360810053888" 14.15716 1.18924 0.92785 0.01360 0.89675 0.02376 0.14
"Gaia DR2 5290824771470856576" 14.16591 1.21723 0.92527 0.01366 0.89260 0.02532 0.12
"Gaia DR2 5289872972356315520" 14.17086 1.20629 0.92495 0.01353 0.89334 0.02480 0.12
"Gaia DR2 5290708291957076480" 14.17533 1.22534 0.92344 0.01355 0.89028 0.02565 0.13
"Gaia DR2 5289926573549512064" 14.17700 1.18368 0.92484 0.01354 0.89506 0.02350 0.17
"Gaia DR2 5290802472000890752" 14.17908 1.19514 0.92405 0.01353 0.89370 0.02413 0.14
"Gaia DR2 5290767459427547136" 14.18260 1.19432 0.92346 0.01352 0.89335 0.02376 0.14
"Gaia DR2 5291044089678689408" 14.19359 1.17139 0.92268 0.01346 0.89416 0.02247 0.20
"Gaia DR2 5290669568532574720" 14.20996 1.19119 0.91955 0.01339 0.88940 0.02424 0.17
"Gaia DR2 5290819342632176512" 14.21063 1.26243 0.91655 0.01343 0.88165 0.02731 0.24
"Gaia DR2 5290823671959351936" 14.24706 1.20681 0.91306 0.01350 0.88301 0.02526 0.15
"Gaia DR2 5290673348103622272" 14.24919 1.23433 0.91175 0.01331 0.87966 0.02623 0.12
"Gaia DR2 5290950906068692992" 14.25127 1.22427 0.91178 0.01333 0.88039 0.02586 0.12
"Gaia DR2 5291043917879994880" 14.25436 1.19425 0.91240 0.01343 0.88359 0.02438 0.18
"Gaia DR2 5290393144437053824" 14.26088 1.22494 0.91034 0.01335 0.87898 0.02537 0.12
"Gaia DR2 5290918642274007808" 14.26564 1.06337 0.91560 0.01333 0.89144 0.02050 0.35
"Gaia DR2 5290740452672244480" 14.27428 1.37862 0.90255 0.01336 0.85272 0.02934 0.72
"Gaia DR2 5290803326698474880" 14.28225 1.25459 0.90595 0.01330 0.87219 0.02607 0.14
"Gaia DR2 5290770998480701184" 14.28684 1.23839 0.90585 0.01334 0.87403 0.02547 0.12
"Gaia DR2 5290741277305967232" 14.30318 1.20725 0.90447 0.01322 0.87493 0.02429 0.18
"Gaia DR2 5290801235050411136" 14.30318 1.21301 0.90418 0.01323 0.87402 0.02451 0.17
"Gaia DR2 5290669018776755584" 14.30579 1.45516 0.89486 0.01329 0.82256 0.02180 0.84
"Gaia DR2 5290722035852820224" 14.30685 1.26514 0.90184 0.01325 0.86822 0.02624 0.15
"Gaia DR2 5290833258325773312" 14.32371 1.21888 0.90085 0.01322 0.87112 0.02437 0.17
"Gaia DR2 5290769039975605760" 14.32563 1.21805 0.90057 0.01317 0.87085 0.02444 0.17
"Gaia DR2 5290854973680764288" 14.32618 1.22916 0.90009 0.01315 0.86969 0.02486 0.14
"Gaia DR2 5290723204083832704" 14.32845 1.25523 0.89888 0.01316 0.86745 0.02546 0.12
"Gaia DR2 5290429561460044288" 14.32848 1.21611 0.90019 0.01319 0.87080 0.02416 0.18
"Gaia DR2 5290829856711908608" 14.32935 1.44244 0.89152 0.01307 0.82431 0.02389 0.83
"Gaia DR2 5291348448243025920" 14.33028 1.24400 0.89902 0.01319 0.86828 0.02511 0.12
"Gaia DR2 5290712037169006336" 14.33236 1.34437 0.89502 0.01319 0.85540 0.02836 0.51
"Gaia DR2 5289978010077507328" 14.33274 1.28202 0.89725 0.01319 0.86398 0.02601 0.19
"Gaia DR2 5290870263764127488" 14.33839 1.35119 0.89374 0.01312 0.85384 0.02829 0.54
"Gaia DR2 5290767218909364224" 14.35257 1.23407 0.89610 0.01311 0.86710 0.02381 0.15
"Gaia DR2 5290739937276199168" 14.35267 1.22079 0.89647 0.01304 0.86850 0.02331 0.18
"Gaia DR2 5290717534726987136" 14.35280 1.27309 0.89465 0.01315 0.86332 0.02510 0.14
"Gaia DR2 5290758933911651584" 14.36987 1.29875 0.89099 0.01305 0.85874 0.02557 0.22
"Gaia DR2 5289959868135815424" 14.37757 1.28186 0.89048 0.01298 0.86002 0.02434 0.14
"Gaia DR2 5291081301275802624" 14.38529 1.29478 0.88886 0.01292 0.85709 0.02524 0.18
"Gaia DR2 5289899910390965248" 14.38929 1.49981 0.88064 0.01285 0.80558 0.01928 0.84
"Gaia DR2 5290130979632674176" 14.39353 1.26373 0.88879 0.01292 0.86017 0.02325 0.12
"Gaia DR2 5291116829245039104" 14.39855 1.25499 0.88842 0.01291 0.86043 0.02280 0.13
"Gaia DR2 5290327998373432832" 14.39868 1.23748 0.88902 0.01292 0.86206 0.02232 0.17
"Gaia DR2 5290670496245496576" 14.42075 1.26746 0.88459 0.01287 0.85618 0.02298 0.12
"Gaia DR2 5291131844450888064" 14.42532 1.31840 0.88211 0.01282 0.85044 0.02448 0.25
"Gaia DR2 5290769933328623616" 14.42536 1.34867 0.88096 0.01280 0.84687 0.02520 0.41
"Gaia DR2 5290815082024737664" 14.42668 1.29682 0.88262 0.01292 0.85249 0.02378 0.15
"Gaia DR2 5290927816324296960" 14.43716 1.28602 0.88159 0.01279 0.85234 0.02323 0.12
"Gaia DR2 5290726193380997120" 14.43791 1.25828 0.88242 0.01284 0.85444 0.02285 0.14
"Gaia DR2 5290854114687316352" 14.43980 1.25658 0.88224 0.01278 0.85436 0.02282 0.15
"Gaia DR2 5290712758723428224" 14.44822 1.32107 0.87865 0.01286 0.84729 0.02383 0.23
"Gaia DR2 5290622117734044416" 14.44885 1.28215 0.88008 0.01280 0.85131 0.02285 0.12
"Gaia DR2 5290702175923834624" 14.45082 1.27357 0.88010 0.01280 0.85196 0.02252 0.12
"Gaia DR2 5290815906658459008" 14.45204 1.24917 0.88078 0.01276 0.85376 0.02223 0.17
"Gaia DR2 5290670324446806912" 14.45741 1.29866 0.87807 0.01287 0.84882 0.02300 0.14
"Gaia DR2 5290658161099482752" 14.45867 1.62424 0.86563 0.01254 0.78845 0.01795 0.72
"Gaia DR2 5290819445711387648" 14.46709 1.41305 0.87248 0.01274 0.83290 0.02638 0.67
"Gaia DR2 5289859606418009344" 14.47424 1.30639 0.87533 0.01278 0.84654 0.02263 0.14
"Gaia DR2 5290847826854912512" 14.48669 1.24660 0.87574 0.01272 0.85010 0.02128 0.20
"Gaia DR2 5289971447367604224" 14.49151 1.26847 0.87428 0.01272 0.84794 0.02148 0.15
"Gaia DR2 5290815047664997248" 14.49321 1.27155 0.87394 0.01259 0.84737 0.02135 0.14
"Gaia DR2 5290821438576074752" 14.49672 1.28659 0.87289 0.01257 0.84558 0.02182 0.12
"Gaia DR2 5291051854979713536" 14.50348 1.29913 0.87150 0.01265 0.84375 0.02206 0.12
"Gaia DR2 5290672867067372672" 14.50786 1.29024 0.87114 0.01258 0.84430 0.02147 0.12
"Gaia DR2 5290759110011311232" 14.50819 1.27951 0.87156 0.01265 0.84506 0.02125 0.14
"Gaia DR2 5291036324377993088" 14.52186 1.26357 0.87014 0.01262 0.84489 0.02067 0.18
"Gaia DR2 5290669602892314496" 14.52982 1.27697 0.86848 0.01260 0.84283 0.02057 0.15
"Gaia DR2 5290669877770204032" 14.53740 1.52581 0.85802 0.01248 0.79145 0.02060 0.86
"Gaia DR2 5290852499779743104" 14.54423 1.31507 0.86500 0.01248 0.83780 0.02065 0.12
"Gaia DR2 5290767150189899776" 14.54566 1.30149 0.86524 0.01252 0.83873 0.02013 0.12
"Gaia DR2 5290826317659219456" 14.54642 1.31754 0.86462 0.01245 0.83743 0.02072 0.13
"Gaia DR2 5290776839636049664" 14.54855 1.31088 0.86460 0.01246 0.83777 0.02044 0.12
"Gaia DR2 5290902802434393728" 14.55205 1.29420 0.86467 0.01244 0.83889 0.01942 0.13
"Gaia DR2 5290643145894030208" 14.55518 1.44760 0.85840 0.01241 0.82080 0.02497 0.71
"Gaia DR2 5290991553638944896" 14.56362 1.30549 0.86266 0.01242 0.83733 0.01927 0.12
"Gaia DR2 5289876992445790080" 14.56656 1.31178 0.86201 0.01253 0.83671 0.01928 0.12
"Gaia DR2 5278169530073469056" 14.56737 0.90470 0.87690 0.01261 0.85769 0.01875 0.43
"Gaia DR2 5291061235188475520" 14.57571 1.29911 0.86113 0.01243 0.83655 0.01871 0.13
"Gaia DR2 5291559623193814528" 14.58503 1.34850 0.85790 0.01231 0.83205 0.01976 0.19
"Gaia DR2 5291041547058288896" 14.59149 1.29777 0.85887 0.01242 0.83489 0.01830 0.14
"Gaia DR2 5290666991552265088" 14.59288 1.32202 0.85782 0.01232 0.83305 0.01892 0.12
"Gaia DR2 5290641599705993728" 14.60726 1.32842 0.85576 0.01221 0.83080 0.01890 0.12
"Gaia DR2 5290710525340502784" 14.61661 1.34352 0.85380 0.01235 0.82818 0.01910 0.14
"Gaia DR2 5290720833262052480" 14.61964 1.30800 0.85475 0.01220 0.83060 0.01841 0.14
"Gaia DR2 5290815734859774080" 14.62017 1.33695 0.85357 0.01239 0.82828 0.01883 0.13
"Gaia DR2 5291471078147443584" 14.62403 1.33883 0.85282 0.01233 0.82776 0.01872 0.13
"Gaia DR2 5290814978945611648" 14.62869 1.33036 0.85245 0.01231 0.82805 0.01799 0.12
"Gaia DR2 5290821404216489216" 14.64726 1.34507 0.84936 0.01221 0.82545 0.01803 0.13
"Gaia DR2 5290764951166829824" 14.65022 1.31311 0.85021 0.01222 0.82703 0.01731 0.14
"Gaia DR2 5291101436082116352" 14.65473 1.31933 0.84929 0.01225 0.82619 0.01731 0.13
"Gaia DR2 5290838721524182272" 14.66255 1.51533 0.84095 0.01212 0.79521 0.02577 0.81
"Gaia DR2 5290001718296770688" 14.66500 1.33018 0.84773 0.01200 0.82450 0.01731 0.12
"Gaia DR2 5290824049916475136" 14.67580 1.34600 0.84547 0.01206 0.82210 0.01743 0.12
"Gaia DR2 5290684411939327104" 14.67768 1.57854 0.83650 0.01213 0.77148 0.01902 0.87
"Gaia DR2 5290703584673116032" 14.67983 1.38110 0.84365 0.01222 0.81914 0.01853 0.23
"Gaia DR2 5290747771297885824" 14.69464 1.41354 0.84044 0.01197 0.81525 0.01994 0.38
"Gaia DR2 5290779279177397632" 14.70745 1.35619 0.84078 0.01200 0.81834 0.01738 0.12
"Gaia DR2 5290853805449669376" 14.70873 1.34890 0.84087 0.01202 0.81854 0.01730 0.12
"Gaia DR2 5290648093692934912" 14.71393 1.09160 0.84958 0.01211 0.83052 0.01605 0.39
"Gaia DR2 5290740452672243584" 14.71939 1.35305 0.83938 0.01180 0.81730 0.01711 0.12
"Gaia DR2 5291070100001163264" 14.72452 1.35727 0.83852 0.01187 0.81661 0.01722 0.12
"Gaia DR2 5290606243535243648" 14.72573 1.37400 0.83767 0.01198 0.81537 0.01735 0.15
"Gaia DR2 5291064396284484224" 14.73606 1.35970 0.83669 0.01207 0.81518 0.01714 0.12
"Gaia DR2 5290834598355785472" 14.74391 1.32168 0.83712 0.01201 0.81677 0.01612 0.18
"Gaia DR2 5290750382637937920" 14.74782 1.36276 0.83505 0.01191 0.81405 0.01674 0.12
"Gaia DR2 5290751482149639296" 14.75157 1.36915 0.83426 0.01195 0.81317 0.01674 0.12
"Gaia DR2 5290725849783612288" 14.75378 1.41400 0.83239 0.01177 0.81006 0.01750 0.29
"Gaia DR2 5291028009321137664" 14.75378 1.37846 0.83364 0.01186 0.81231 0.01709 0.14
"Gaia DR2 5290663727377028736" 14.76152 1.36904 0.83297 0.01182 0.81196 0.01655 0.12
"Gaia DR2 5290804155628075136" 14.76378 1.36010 0.83299 0.01183 0.81217 0.01652 0.12
"Gaia DR2 5290701420009591552" 14.76573 1.37836 0.83212 0.01170 0.81114 0.01647 0.13
"Gaia DR2 5290720764542575360" 14.78545 1.36091 0.83030 0.01167 0.80962 0.01591 0.12
"Gaia DR2 5290837755153683840" 14.78805 1.32420 0.83116 0.01171 0.81153 0.01598 0.20
"Gaia DR2 5290721279938737280" 14.79576 1.41194 0.82679 0.01181 0.80465 0.01612 0.22
"Gaia DR2 5290652663541576832" 14.80746 1.36830 0.82688 0.01180 0.80596 0.01590 0.12
"Gaia DR2 5291139059996091520" 14.80785 1.38228 0.82634 0.01173 0.80482 0.01592 0.12
"Gaia DR2 5289880084822105728" 14.81220 1.45756 0.82312 0.01164 0.79915 0.01676 0.43
"Gaia DR2 5290724166156426112" 14.81652 1.65206 0.81533 0.01158 0.75214 0.01721 0.84
"Gaia DR2 5290008281007108608" 14.81949 1.36203 0.82555 0.01168 0.80453 0.01570 0.13
"Gaia DR2 5290929843549247232" 14.82017 1.36746 0.82528 0.01165 0.80411 0.01581 0.12
"Gaia DR2 5290699564583515648" 14.82247 1.47956 0.82090 0.01160 0.79631 0.01736 0.53
"Gaia DR2 5291034194074141568" 14.82296 1.35985 0.82524 0.01165 0.80424 0.01567 0.14
"Gaia DR2 5290738047490663808" 14.83234 1.41159 0.82212 0.01159 0.80000 0.01594 0.17
"Gaia DR2 5290643077174550144" 14.83630 1.37706 0.82287 0.01159 0.80122 0.01550 0.12
"Gaia DR2 5290814978945611008" 14.85242 1.37952 0.82067 0.01160 0.79954 0.01497 0.12
"Gaia DR2 5290717843964557056" 14.86140 1.55287 0.81322 0.01146 0.78192 0.02050 0.76
"Gaia DR2 5290718118842704768" 14.86221 1.39396 0.81883 0.01158 0.79782 0.01487 0.11
"Gaia DR2 5290723032285136128" 14.86363 1.39299 0.81865 0.01156 0.79777 0.01482 0.11
"Gaia DR2 5289956913198386688" 14.88327 1.37043 0.81694 0.01146 0.79651 0.01467 0.15
"Gaia DR2 5290840233352691328" 14.88881 1.39564 0.81539 0.01148 0.79426 0.01474 0.11
"Gaia DR2 5290798280112896896" 14.89090 1.73575 0.80249 0.01143 0.74006 0.01474 0.77
"Gaia DR2 5290753956050829056" 14.89633 1.44591 0.81252 0.01145 0.79105 0.01489 0.24
"Gaia DR2 5290725437466834816" 14.89879 1.39467 0.81416 0.01138 0.79317 0.01479 0.12
"Gaia DR2 5290874833609343744" 14.90178 1.36558 0.81475 0.01141 0.79408 0.01469 0.18
"Gaia DR2 5290840233352691968" 14.90378 1.38804 0.81375 0.01136 0.79306 0.01474 0.13
"Gaia DR2 5290673794780226560" 14.90695 1.39100 0.81330 0.01139 0.79262 0.01457 0.12
"Gaia DR2 5290835113751864704" 14.90774 1.40308 0.81264 0.01141 0.79210 0.01455 0.11
"Gaia DR2 5290022059261997056" 14.90944 1.36800 0.81376 0.01135 0.79325 0.01466 0.18
"Gaia DR2 5290733168407670656" 14.91982 1.46785 0.80876 0.01133 0.78732 0.01525 0.32
"Gaia DR2 5290940941744376064" 14.92164 1.38837 0.81135 0.01141 0.79129 0.01447 0.14
"Gaia DR2 5290820235985229440" 14.92917 1.41688 0.80941 0.01148 0.78922 0.01453 0.11
"Gaia DR2 5290660600640916608" 14.93382 1.43709 0.80803 0.01127 0.78747 0.01490 0.15
"Gaia DR2 5290776702197093888" 14.93387 1.41252 0.80898 0.01138 0.78891 0.01452 0.11
"Gaia DR2 5291064705522126208" 14.94061 1.67940 0.79836 0.01110 0.74185 0.01530 0.86
"Gaia DR2 5289994502751632384" 14.94072 1.40984 0.80816 0.01130 0.78810 0.01463 0.11
"Gaia DR2 5290664689449614720" 14.94476 1.40659 0.80776 0.01127 0.78776 0.01468 0.11
"Gaia DR2 5289991994490876928" 14.96009 1.56287 0.80006 0.01122 0.77263 0.01737 0.70
"Gaia DR2 5290819445711388800" 14.96159 1.42061 0.80515 0.01122 0.78481 0.01474 0.11
"Gaia DR2 5290661116036894592" 14.96560 1.49480 0.80186 0.01124 0.77912 0.01617 0.38
"Gaia DR2 5289988416778566272" 14.96610 1.44103 0.80386 0.01130 0.78293 0.01545 0.14
"Gaia DR2 5289813117692497536" 14.96683 1.47611 0.80245 0.01135 0.78042 0.01590 0.29
"Gaia DR2 5290828757200371072" 14.97417 1.43156 0.80316 0.01128 0.78264 0.01534 0.11
"Gaia DR2 5290950047075198080" 14.98372 1.40691 0.80281 0.01126 0.78285 0.01515 0.13
"Gaia DR2 5290658470337128704" 14.98895 1.44808 0.80067 0.01112 0.77950 0.01564 0.14
"Gaia DR2 5290746190749912192" 14.99736 1.44328 0.79978 0.01120 0.77868 0.01550 0.12
"Gaia DR2 5290757460744159104" 14.99909 1.43537 0.79985 0.01118 0.77896 0.01544 0.11
"Gaia DR2 5290713686436349312" 14.99926 1.48725 0.79804 0.01105 0.77544 0.01575 0.29
"Gaia DR2 5290818380559513088" 15.01258 1.42588 0.79856 0.01105 0.77790 0.01553 0.11
"Gaia DR2 5290662730944520320" 15.02306 1.44888 0.79652 0.01107 0.77466 0.01545 0.11
"Gaia DR2 5290732584292109952" 15.02323 1.46618 0.79593 0.01113 0.77356 0.01531 0.16
"Gaia DR2 5290653075858442752" 15.02624 1.43773 0.79652 0.01106 0.77504 0.01535 0.11
"Gaia DR2 5291050136992718080" 15.04649 1.45419 0.79327 0.01098 0.77172 0.01519 0.11
"Gaia DR2 5290023674169675264" 15.05451 1.45742 0.79222 0.01094 0.77064 0.01523 0.11
"Gaia DR2 5290417127533939712" 15.08285 1.48554 0.78774 0.01087 0.76597 0.01497 0.16
"Gaia DR2 5290387028403697024" 15.08647 1.75306 0.77765 0.01097 0.72485 0.01487 0.84
"Gaia DR2 5290002989607023488" 15.09247 1.43934 0.78831 0.01092 0.76757 0.01477 0.13
"Gaia DR2 5290815975377935616" 15.09266 1.45044 0.78784 0.01088 0.76684 0.01486 0.11
"Gaia DR2 5290721829694303360" 15.09435 1.67597 0.77958 0.01078 0.74030 0.01460 0.84
"Gaia DR2 5289797827609246720" 15.11573 1.50992 0.78299 0.01086 0.76073 0.01448 0.22
"Gaia DR2 5290901221886654464" 15.13343 1.46668 0.78247 0.01083 0.76099 0.01395 0.10
"Gaia DR2 5290924105472526208" 15.14088 1.50657 0.78008 0.01070 0.75839 0.01393 0.17
"Gaia DR2 5289930318760941952" 15.15913 1.49069 0.77855 0.01059 0.75754 0.01354 0.11
"Gaia DR2 5291067694819378048" 15.16999 1.49833 0.77688 0.01082 0.75593 0.01351 0.12
"Gaia DR2 5291225058123937280" 15.18286 1.52321 0.77458 0.01058 0.75323 0.01334 0.19
"Gaia DR2 5290827554609678208" 15.18354 1.53936 0.77391 0.01053 0.75224 0.01346 0.26
"Gaia DR2 5290954960517841408" 15.18915 1.48700 0.77527 0.01053 0.75456 0.01301 0.10
"Gaia DR2 5290758663334893440" 15.18929 1.48018 0.77546 0.01050 0.75492 0.01307 0.11
"Gaia DR2 5290413622840629504" 15.20461 1.27656 0.78084 0.01062 0.76283 0.01396 0.36
"Gaia DR2 5290935787783733504" 15.21187 1.49915 0.77213 0.01052 0.75183 0.01277 0.10
"Gaia DR2 5290668881337798272" 15.21650 1.51413 0.77104 0.01056 0.75057 0.01296 0.12
"Gaia DR2 5290737806972563456" 15.23158 1.51252 0.76939 0.01045 0.74900 0.01313 0.11
"Gaia DR2 5289805661629623936" 15.23236 1.55258 0.76781 0.01048 0.74665 0.01324 0.25
"Gaia DR2 5290815150744301952" 15.23451 1.51678 0.76885 0.01042 0.74864 0.01310 0.12
"Gaia DR2 5290769727170190848" 15.23586 1.52097 0.76857 0.01044 0.74841 0.01306 0.13
"Gaia DR2 5289749036780140032" 15.24377 1.51846 0.76775 0.01043 0.74780 0.01275 0.11
"Gaia DR2 5290731965816830080" 15.24470 1.55135 0.76645 0.01039 0.74560 0.01309 0.22
"Gaia DR2 5290805152060400512" 15.24521 1.52946 0.76711 0.01041 0.74687 0.01296 0.14
"Gaia DR2 5290000137748809856" 15.24919 1.49495 0.76799 0.01038 0.74834 0.01277 0.11
"Gaia DR2 5290802815598272128" 15.25456 1.52443 0.76630 0.01034 0.74619 0.01298 0.12
"Gaia DR2 5290731312981791872" 15.26635 1.71091 0.75826 0.01023 0.72956 0.01442 0.80
"Gaia DR2 5290854011608101760" 15.28057 1.64535 0.75903 0.01011 0.73641 0.01360 0.59
"Gaia DR2 5290936264526411776" 15.28625 1.63444 0.75879 0.01012 0.73679 0.01347 0.53
"Gaia DR2 5290011407743074048" 15.30478 1.53175 0.76048 0.01019 0.74209 0.01270 0.10
"Gaia DR2 5290029103008123520" 15.31113 1.82436 0.74912 0.01000 0.70323 0.01397 0.86
"Gaia DR2 5290769727170191232" 15.32083 1.53415 0.75866 0.00995 0.74046 0.01288 0.10
"Gaia DR2 5290717672165866496" 15.32626 1.58866 0.75624 0.01006 0.73635 0.01342 0.26
"Gaia DR2 5290708051438912640" 15.33666 1.58212 0.75535 0.00997 0.73581 0.01348 0.22
"Gaia DR2 5289894515912156544" 15.34091 1.76928 0.74800 0.00987 0.71402 0.01450 0.84
"Gaia DR2 5290820888820255488" 15.34478 1.55180 0.75558 0.00992 0.73708 0.01299 0.11
"Gaia DR2 5291056837141838464" 15.34684 1.62578 0.75262 0.00981 0.73208 0.01372 0.40
"Gaia DR2 5289697462813059200" 15.34946 1.56247 0.75469 0.00989 0.73610 0.01314 0.13
"Gaia DR2 5290702622600509824" 15.35184 1.57192 0.75402 0.00981 0.73514 0.01322 0.16
"Gaia DR2 5290755193001408128" 15.35663 1.55646 0.75406 0.00979 0.73581 0.01309 0.11
"Gaia DR2 5290660738079873920" 15.36232 1.60400 0.75180 0.00984 0.73215 0.01345 0.27
"Gaia DR2 5290904451701850496" 15.36434 1.58672 0.75218 0.00974 0.73318 0.01324 0.20
"Gaia DR2 5290733855602448640" 15.36821 1.58243 0.75193 0.00977 0.73313 0.01316 0.18
"Gaia DR2 5290040304282868096" 15.37315 1.56882 0.75192 0.00975 0.73346 0.01305 0.13
"Gaia DR2 5291006019089017600" 15.37893 1.58795 0.75069 0.00969 0.73159 0.01330 0.18
"Gaia DR2 5289776799449214592" 15.38130 1.55451 0.75160 0.00971 0.73352 0.01306 0.10
"Gaia DR2 5290716229056925952" 15.38196 1.58735 0.75046 0.00966 0.73124 0.01331 0.18
"Gaia DR2 5289758313909474816" 15.39439 1.55903 0.75021 0.00955 0.73178 0.01321 0.10
"Gaia DR2 5291000349732384000" 15.39506 1.59266 0.74881 0.00954 0.72952 0.01360 0.18
"Gaia DR2 5291054466319931392" 15.39804 1.62377 0.74745 0.00966 0.72752 0.01369 0.30
"Gaia DR2 5289874724703122432" 15.40597 1.57262 0.74845 0.00950 0.72980 0.01340 0.11
"Gaia DR2 5290898782345126528" 15.41353 1.65201 0.74492 0.00943 0.72434 0.01412 0.40
"Gaia DR2 5290725025149969920" 15.42607 1.60332 0.74547 0.00936 0.72619 0.01373 0.18
"Gaia DR2 5290766531714592384" 15.42863 1.58066 0.74598 0.00935 0.72746 0.01371 0.11
"Gaia DR2 5290951112226981632" 15.43043 1.57656 0.74595 0.00935 0.72750 0.01367 0.11
"Gaia DR2 5289581052018852480" 15.43326 1.58221 0.74552 0.00934 0.72695 0.01373 0.11
"Gaia DR2 5290661871951147264" 15.43610 1.60795 0.74423 0.00938 0.72486 0.01379 0.18
"Gaia DR2 5291029486789919104" 15.43756 1.57378 0.74540 0.00932 0.72704 0.01368 0.10
"Gaia DR2 5291262239658360192" 15.44162 1.55130 0.74579 0.00928 0.72789 0.01332 0.12
"Gaia DR2 5290905310695346944" 15.44812 1.53680 0.74566 0.00928 0.72799 0.01328 0.15
"Gaia DR2 5291281652910919424" 15.45091 1.71370 0.73898 0.00922 0.71724 0.01419 0.60
"Gaia DR2 5290928022482693120" 15.45450 1.59980 0.74269 0.00920 0.72360 0.01385 0.13
"Gaia DR2 5289865481933559936" 15.45467 1.58125 0.74336 0.00921 0.72455 0.01364 0.10
"Gaia DR2 5290726846215993600" 15.45748 1.64425 0.74088 0.00916 0.72100 0.01408 0.29
"Gaia DR2 5290950287593356928" 15.46073 1.57199 0.74309 0.00919 0.72451 0.01370 0.10
"Gaia DR2 5290852809017392384" 15.47161 1.84530 0.73240 0.00898 0.69415 0.01464 0.87
"Gaia DR2 5290920841297756288" 15.47268 1.61263 0.74061 0.00912 0.72144 0.01385 0.15
"Gaia DR2 5290769589731340160" 15.47312 1.59607 0.74104 0.00913 0.72209 0.01378 0.11
"Gaia DR2 5290722310730726912" 15.48359 1.58224 0.74064 0.00906 0.72198 0.01380 0.10
"Gaia DR2 5290011540883346688" 15.48611 1.63467 0.73845 0.00910 0.71918 0.01373 0.21
"Gaia DR2 5290836934817777664" 15.48999 1.61341 0.73885 0.00911 0.71996 0.01367 0.14
"Gaia DR2 5290674000938662528" 15.49316 1.88706 0.72891 0.00893 0.68540 0.01427 0.87
"Gaia DR2 5290008624604423808" 15.49471 1.70632 0.73518 0.00899 0.71428 0.01425 0.50
"Gaia DR2 5290709494548431616" 15.50108 1.63721 0.73703 0.00897 0.71782 0.01369 0.20
"Gaia DR2 5291214612763529728" 15.50127 1.03219 0.75726 0.00938 0.74516 0.01401 0.43
"Gaia DR2 5290001855735725696" 15.51303 1.60536 0.73703 0.00895 0.71858 0.01335 0.11
"Gaia DR2 5290708532475243776" 15.51506 1.58413 0.73756 0.00902 0.71938 0.01346 0.11
"Gaia DR2 5290118094730785024" 15.52203 1.97027 0.72331 0.00876 0.67560 0.01410 0.79
"Gaia DR2 5290941354061209344" 15.52567 1.62490 0.73512 0.00894 0.71638 0.01324 0.13
"Gaia DR2 5289888399878613376" 15.52595 1.61720 0.73540 0.00895 0.71676 0.01335 0.11
"Gaia DR2 5290659363690545920" 15.52754 1.68885 0.73274 0.00890 0.71286 0.01392 0.37
"Gaia DR2 5290921253614620416" 15.53176 1.68271 0.73257 0.00888 0.71300 0.01380 0.34
"Gaia DR2 5291012032043116288" 15.53336 1.64454 0.73374 0.00885 0.71490 0.01321 0.18
"Gaia DR2 5290458737177218432" 15.53477 1.66429 0.73294 0.00887 0.71360 0.01369 0.25
"Gaia DR2 5290651941987110272" 15.53826 1.63208 0.73373 0.00884 0.71512 0.01308 0.14
"Gaia DR2 5290734680236169344" 15.54281 1.62745 0.73346 0.00890 0.71507 0.01304 0.12
"Gaia DR2 5290792851274423296" 15.54719 1.62910 0.73303 0.00884 0.71448 0.01308 0.12
"Gaia DR2 5290829650553566208" 15.55734 1.81563 0.72558 0.00868 0.69985 0.01446 0.78
"Gaia DR2 5289982957879843968" 15.55994 1.67693 0.73012 0.00879 0.71079 0.01375 0.27
